Pool,SITE,YEAR,AMD_ID,Poolsize 
41,Maferinyah,2018,18GNMa00xp041PfF1293,2
42,Maferinyah,2018,18GNMa00xp042PfF1293,4
43,Maferinyah,2018,18GNMa00xp043PfF1293,6
44,Maferinyah,2018,18GNMa00xp044PfF1293,3
45,Maferinyah,2018,18GNMa00xp045PfF1293,1
46,Maferinyah,2018,18GNMa00xp046PfF1293,1
47,Maferinyah,2018,18GNMa00xp047PfF1293,2
48,Maferinyah,2017,17GNMa00xp048PfF1293,1
27,Lay-Sarè,2018,18GNLa00xp027PfF1293,1
28,Lay-Sarè,2018,18GNLa00xp028PfF1293,8
29,Lay-Sarè,2018,18GNLa00xp029PfF1293,5
30,Lay-Sarè,2018,18GNLa00xp030PfF1293,5
31,Lay-Sarè,2018,18GNLa00xp031PfF1293,1
37,Hamdalaye,2017,17GNHa00xp037PfF1293,4
38,Hamdalaye,2017,17GNHa00xp038PfF1293,3
39,Hamdalaye,2017,17GNHa00xp039PfF1293,4
40,Hamdalaye,2017,17GNHa00xp040PfF1293,1
41,Hamdalaye,2017,17GNHa00xp041PfF1293,1
42,Hamdalaye,2017,17GNHa00xp042PfF1293,1
43,Hamdalaye,2017,17GNHa00xp043PfF1293,2
44,Hamdalaye,2017,17GNHa00xp044PfF1293,1
45,Hamdalaye,2017,17GNHa00xp045PfF1293,1
46,Hamdalaye,2019,19GNHa00xp046PfF1293,3
47,Hamdalaye,2019,19GNHa00xp047PfF1293,6
48,Hamdalaye,2019,19GNHa00xp048PfF1293,3
49,Hamdalaye,2019,19GNHa00xp049PfF1293,5
50,Hamdalaye,2019,19GNHa00xp050PfF1293,2
51,Hamdalaye,2019,19GNHa00xp051PfF1293,1
39,Dorota,2017,17GNDo00xp039PfF1293,1
40,Dorota,2017,17GNDo00xp040PfF1293,1
41,Dorota,2017,17GNDo00xp041PfF1293,7
42,Dorota,2017,17GNDo00xp042PfF1293,4
43,Dorota,2017,17GNDo00xp043PfF1293,3
44,Dorota,2017,17GNDo00xp044PfF1293,1
45,Dorota,2019,19GNDo00xp045PfF1293,6
46,Dorota,2019,19GNDo00xp046PfF1293,2
47,Dorota,2019,19GNDo00xp047PfF1293,3
48,Dorota,2019,19GNDo00xp048PfF1293,5
49,Dorota,2019,19GNDo00xp049PfF1293,1
50,Dorota,2019,19GNDo00xp050PfF1293,1
