Pools ,SITE ,Year,AMD ID (Pooled),PoolSize
1,BENGUELA,2019,19ANBe00xp001PfF1152,3
2,BENGUELA,2019,19ANBe00xp002PfF1152,6
3,BENGUELA,2019,19ANBe00xp003PfF1152,10
4,BENGUELA,2019,19ANBe00xp004PfF1152,10
5,BENGUELA,2019,19ANBe00xp005PfF1152,10
6,BENGUELA,2019,19ANBe00xp006PfF1152,10
7,BENGUELA,2019,19ANBe00xp007PfF1152,10
8,BENGUELA,2019,19ANBe00xp008PfF1152,10
9,BENGUELA,2019,19ANBe00xp009PfF1152,10
10,BENGUELA,2019,19ANBe00xp010PfF1152,10
11,BENGUELA,2019,19ANBe00xp011PfF1152,9
12,BENGUELA,2019,19ANBe00xp012PfF1152,10
13,BENGUELA,2019,19ANBe00xp013PfF1152,10
14,BENGUELA,2019,19ANBe00xp014PfF1152,9
15,BENGUELA,2019,19ANBe00xp015PfF1152,10
16,BENGUELA,2019,19ANBe00xp016PfF1152,10
17,BENGUELA,2019,19ANBe00xp017PfF1152,10
18,BENGUELA,2019,19ANBe00xp018PfF1152,6
19,BENGUELA,2019,19ANBe00xp019PfF1152,10
20,BENGUELA,2019,19ANBe00xp020PfF1152,5
21,BENGUELA,2019,19ANBe00xp021PfF1152,3
22,BENGUELA,2019,19ANBe00xp022PfF1152,1
23,BENGUELA,2019,19ANBe00xp023PfF1152,1
1,LUNDA SUL,2019,19ANLS00xp001PfF1152,1
2,LUNDA SUL,2019,19ANLS00xp002PfF1152,4
3,LUNDA SUL,2019,19ANLS00xp003PfF1152,10
4,LUNDA SUL,2019,19ANLS00xp004PfF1152,10
5,LUNDA SUL,2019,19ANLS00xp005PfF1152,10
6,LUNDA SUL,2019,19ANLS00xp006PfF1152,10
7,LUNDA SUL,2019,19ANLS00xp007PfF1152,10
8,LUNDA SUL,2019,19ANLS00xp008PfF1152,10
9,LUNDA SUL,2019,19ANLS00xp009PfF1152,10
10,LUNDA SUL,2019,19ANLS00xp010PfF1152,10
11,LUNDA SUL,2019,19ANLS00xp011PfF1152,10
12,LUNDA SUL,2019,19ANLS00xp012PfF1152,10
13,LUNDA SUL,2019,19ANLS00xp013PfF1152,10
14,LUNDA SUL,2019,19ANLS00xp014PfF1152,10
15,LUNDA SUL,2019,19ANLS00xp015PfF1152,10
16,LUNDA SUL,2019,19ANLS00xp016PfF1152,5
17,LUNDA SUL,2019,19ANLS00xp017PfF1152,7
18,LUNDA SUL,2019,19ANLS00xp018PfF1152,5
19,LUNDA SUL,2019,19ANLS00xp019PfF1152,3
20,LUNDA SUL,2019,19ANLS00xp020PfF1152,6
21,LUNDA SUL,2019,19ANLS00xp021PfF1152,3
1,ZAIRE ,2019,19ANZa00xp001PfF1152,1
2,ZAIRE ,2019,19ANZa00xp002PfF1152,1
3,ZAIRE ,2019,19ANZa00xp003PfF1152,2
4,ZAIRE ,2019,19ANZa00xp004PfF1152,7
5,ZAIRE ,2019,19ANZa00xp005PfF1152,10
6,ZAIRE ,2019,19ANZa00xp006PfF1152,10
7,ZAIRE ,2019,19ANZa00xp007PfF1152,10
8,ZAIRE ,2019,19ANZa00xp008PfF1152,10
9,ZAIRE ,2019,19ANZa00xp009PfF1152,10
10,ZAIRE ,2019,19ANZa00xp010PfF1152,10
11,ZAIRE ,2019,19ANZa00xp011PfF1152,10
12,ZAIRE ,2019,19ANZa00xp012PfF1152,10
13,ZAIRE ,2019,19ANZa00xp013PfF1152,10
14,ZAIRE ,2019,19ANZa00xp014PfF1152,10
15,ZAIRE ,2019,19ANZa00xp015PfF1152,10
16,ZAIRE ,2019,19ANZa00xp016PfF1152,10
17,ZAIRE ,2019,19ANZa00xp017PfF1152,10
18,ZAIRE ,2019,19ANZa00xp018PfF1152,6
19,ZAIRE ,2019,19ANZa00xp019PfF1152,10
20,ZAIRE ,2019,19ANZa00xp020PfF1152,4
21,ZAIRE ,2019,19ANZa00xp021PfF1152,4
22,ZAIRE ,2019,19ANZa00xp022PfF1152,2
,,,,
,,,,
