Pool,SITE,YEAR,AMD_ID,Poolsize ,,,
1,Maferinyah,2018,18GNMa00xp001PfF1290,5,,,
2,Maferinyah,2018,18GNMa00xp002PfF1290,5,,,
3,Maferinyah,2018,18GNMa00xp003PfF1290,5,,,
4,Maferinyah,2018,18GNMa00xp004PfF1290,5,,,
5,Maferinyah,2018,18GNMa00xp005PfF1290,5,,,
6,Maferinyah,2018,18GNMa00xp006PfF1290,5,,,
7,Maferinyah,2018,18GNMa00xp007PfF1290,5,,,
8,Maferinyah,2018,18GNMa00xp008PfF1290,5,,,
9,Maferinyah,2018,18GNMa00xp009PfF1290,5,,,
10,Maferinyah,2018,18GNMa00xp010PfF1290,5,,,
11,Maferinyah,2018,18GNMa00xp011PfF1290,5,,,
12,Maferinyah,2018,18GNMa00xp012PfF1290,5,,,
13,Maferinyah,2018,18GNMa00xp013PfF1290,5,,,
14,Maferinyah,2018,18GNMa00xp014PfF1290,5,,,
15,Maferinyah,2018,18GNMa00xp015PfF1290,5,,,
16,Maferinyah,2018,18GNMa00xp016PfF1290,5,,,
17,Maferinyah,2018,18GNMa00xp017PfF1290,5,,,
18,Maferinyah,2018,18GNMa00xp018PfF1290,5,,,
19,Maferinyah,2018,18GNMa00xp019PfF1290,5,,,
20,Maferinyah,2018,18GNMa00xp020PfF1290,5,,,
21,Maferinyah,2018,18GNMa00xp021PfF1290,5,,,
22,Maferinyah,2018,18GNMa00xp022PfF1290,5,,,
23,Maferinyah,2018,18GNMa00xp023PfF1290,5,,,
24,Maferinyah,2018,18GNMa00xp024PfF1290,5,,,
25,Maferinyah,2018,18GNMa00xp025PfF1290,5,,,
26,Maferinyah,2018,18GNMa00xp026PfF1290,5,,,
27,Maferinyah,2018,18GNMa00xp027PfF1290,5,,,
28,Maferinyah,2018,18GNMa00xp028PfF1290,5,,,
29,Maferinyah,2018,18GNMa00xp029PfF1290,5,,,
30,Maferinyah,2018,18GNMa00xp030PfF1290,5,,,
31,Maferinyah,2018,18GNMa00xp031PfF1290,5,,,
32,Maferinyah,2018,18GNMa00xp032PfF1290,5,,,
33,Maferinyah,2018,18GNMa00xp033PfF1290,5,,,
34,Maferinyah,2018,18GNMa00xp034PfF1290,5,,,
35,Maferinyah,2018,18GNMa00xp035PfF1290,5,,,
36,Maferinyah,2018,18GNMa00xp036PfF1290,5,,,
37,Maferinyah,2018,18GNMa00xp037PfF1290,5,,,
38,Maferinyah,2018,18GNMa00xp038PfF1290,5,,,
39,Maferinyah,2018,18GNMa00xp039PfF1290,5,,,
40,Maferinyah,2018,18GNMa00xp040PfF1290,4,,,
1,Dorota ,2019,19GNDo00xp001PfF1290,5,,,
2,Dorota ,2019,19GNDo00xp002PfF1290,5,,,
3,Dorota ,2019,19GNDo00xp003PfF1290,5,,,
4,Dorota ,2019,19GNDo00xp004PfF1290,5,,,
5,Dorota ,2019,19GNDo00xp005PfF1290,5,,,
6,Dorota ,2019,19GNDo00xp006PfF1290,5,,,
7,Dorota ,2019,19GNDo00xp007PfF1290,5,,,
8,Dorota ,2019,19GNDo00xp008PfF1290,5,,,
9,Dorota ,2019,19GNDo00xp009PfF1290,5,,,
10,Dorota ,2019,19GNDo00xp010PfF1290,4,,,
11,Dorota ,2019,19GNDo00xp011PfF1290,5,,,
12,Dorota ,2019,19GNDo00xp012PfF1290,5,,,
13,Dorota ,2019,19GNDo00xp013PfF1290,5,,,
14,Dorota ,2019,19GNDo00xp014PfF1290,5,,,
15,Dorota ,2019,19GNDo00xp015PfF1290,5,,,
16,Dorota ,2019,19GNDo00xp016PfF1290,5,,,
17,Dorota ,2019,19GNDo00xp017PfF1290,5,,,
18,Dorota ,2019,19GNDo00xp018PfF1290,5,,,
19,Dorota ,2019,19GNDo00xp019PfF1290,5,,,
20,Dorota ,2019,19GNDo00xp020PfF1290,5,,,
21,Dorota ,2019,19GNDo00xp021PfF1290,5,,,
22,Dorota ,2019,19GNDo00xp022PfF1290,5,,,
23,Dorota ,2019,19GNDo00xp023PfF1290,5,,,
24,Dorota ,2019,19GNDo00xp024PfF1290,5,,,
25,Dorota ,2019,19GNDo00xp025PfF1290,5,,,
26,Dorota ,2019,19GNDo00xp026PfF1290,5,,,
27,Dorota ,2019,19GNDo00xp027PfF1290,5,,,
28,Dorota ,2019,19GNDo00xp028PfF1290,5,,,
29,Dorota ,2019,19GNDo00xp029PfF1290,5,,,
30,Dorota ,2019,19GNDo00xp030PfF1290,5,,,
31,Dorota ,2019,19GNDo00xp031PfF1290,5,,,
32,Dorota ,2019,19GNDo00xp032PfF1290,4,,,
33,Dorota ,2019,19GNDo00xp033PfF1290,5,,,
34,Dorota ,2019,19GNDo00xp034PfF1290,5,,,
35,Dorota ,2019,19GNDo00xp035PfF1290,5,,,
36,Dorota ,2019,19GNDo00xp036PfF1290,5,,,
37,Dorota ,2019,19GNDo00xp037PfF1290,5,,,
38,Dorota ,2019,19GNDo00xp038PfF1290,2,,,
1,Hamdalaye,2019,19GNHa00xp001PfF1290,5,,,
