Sample,Pooled,Year,SITE,TreatmentDay,GENE,G_annotation,COVERAGE,VAF,VF,SNP,PooledSize
17GNDo00A0006PfF1290,Individual,17,Dorota,00,DHFR,S108N,52,100.0%,52,S108N,1
17GNDo00F0002PfF1290,Individual,17,Dorota,00,DHFR,S108N,19,100.0%,19,S108N,1
17GNDo00F0019PfF1290,Individual,17,Dorota,00,DHFR,S108N,8,100.0%,8,S108N,1
17GNDo00F0055PfF1290,Individual,17,Dorota,00,DHFR,S108N,51,100.0%,51,S108N,1
17GNDo00F0067PfF1153,Individual,17,Dorota,00,DHFR,S108N,22,100.0%,22,S108N,1
17GNDo21A0006PfF1290,Individual,17,Dorota,21,DHFR,S108N,9,100.0%,9,S108N,1
17GNDo21F0002PfF1290,Individual,17,Dorota,21,DHFR,S108N,78,100.0%,78,S108N,1
17GNDo21F0019PfF1290,Individual,17,Dorota,21,DHFR,S108N,44,100.0%,44,S108N,1
17GNHa00A0142PfF1290,Individual,17,Hamdalaye,00,DHFR,S108N,7,100.0%,7,S108N,1
17GNHa00A0159PfF1290,Individual,17,Hamdalaye,00,DHFR,S108N,2,100.0%,2,S108N,1
17GNHa00A0217PfF1290,Individual,17,Hamdalaye,00,DHFR,S108N,46,100.0%,46,S108N,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,DHFR,S108N,73,100.0%,73,S108N,1
17GNHa00F0097PfF1290,Individual,17,Hamdalaye,00,DHFR,S108N,3,100.0%,3,S108N,1
17GNHa00F0137PfF1290,Individual,17,Hamdalaye,00,DHFR,S108N,3,100.0%,3,S108N,1
17GNHa00F0165PfF1290,Individual,17,Hamdalaye,00,DHFR,S108N,9,55.6%,5,S108N,1
17GNHa14F0097PfF1290,Individual,17,Hamdalaye,14,DHFR,S108N,70,100.0%,70,S108N,1
17GNHa16F0011PfF1290,Individual,17,Hamdalaye,16,DHFR,S108N,27,100.0%,27,S108N,1
17GNHa21A0159PfF1290,Individual,17,Hamdalaye,21,DHFR,S108N,62,100.0%,62,S108N,1
17GNHa21F0137PfF1290,Individual,17,Hamdalaye,21,DHFR,S108N,4,100.0%,4,S108N,1
17GNHa25A0217PfF1290,Individual,17,Hamdalaye,25,DHFR,S108N,61,100.0%,61,S108N,1
18GNLS00A0012PfF1290,Individual,18,Lay-Sarè,00,DHFR,S108N,11,100.0%,11,S108N,1
18GNLS00A0097PfF1290,Individual,18,Lay-Sarè,00,DHFR,S108N,10,100.0%,10,S108N,1
18GNLS00A0103PfF1290,Individual,18,Lay-Sarè,00,DHFR,S108N,31,100.0%,31,S108N,1
18GNLS00A0112PfF1290,Individual,18,Lay-Sarè,00,DHFR,S108N,30,100.0%,30,S108N,1
18GNLS00A0117PfF1290,Individual,18,Lay-Sarè,00,DHFR,S108N,15,100.0%,15,S108N,1
18GNLS00A0127PfF1290,Individual,18,Lay-Sarè,00,DHFR,S108N,16,100.0%,16,S108N,1
18GNLS00A0129PfF1290,Individual,18,Lay-Sarè,00,DHFR,S108N,98,100.0%,98,S108N,1
18GNLS00A0131PfF1290,Individual,18,Lay-Sarè,00,DHFR,S108N,29,100.0%,29,S108N,1
18GNLS00A0136PfF1290,Individual,18,Lay-Sarè,00,DHFR,S108N,67,100.0%,67,S108N,1
18GNLS00F0141PfF1290,Individual,18,Lay-Sarè,00,DHFR,S108N,31,100.0%,31,S108N,1
18GNLS14A0127PfF1290,Individual,18,Lay-Sarè,14,DHFR,S108N,27,100.0%,27,S108N,1
18GNLS14F0141PfF1290,Individual,18,Lay-Sarè,14,DHFR,S108N,14,100.0%,14,S108N,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,DHFR,S108N,10,100.0%,10,S108N,1
18GNLS21A0097PfF1290,Individual,18,Lay-Sarè,21,DHFR,S108N,1,100.0%,1,S108N,1
18GNLS21A0103PfF1290,Individual,18,Lay-Sarè,21,DHFR,S108N,37,100.0%,37,S108N,1
18GNLS21A0112PfF1290,Individual,18,Lay-Sarè,21,DHFR,S108N,17,100.0%,17,S108N,1
18GNLS21A0117PfF1290,Individual,18,Lay-Sarè,21,DHFR,S108N,18,100.0%,18,S108N,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,DHFR,S108N,69,100.0%,69,S108N,1
18GNLS21A0131PfF1290,Individual,18,Lay-Sarè,21,DHFR,S108N,13,100.0%,13,S108N,1
18GNLS21A0136PfF1290,Individual,18,Lay-Sarè,21,DHFR,S108N,20,100.0%,20,S108N,1
18GNLS21F0156PfF1290,Individual,18,Lay-Sarè,21,DHFR,S108N,94,100.0%,94,S108N,1
18GNMa00A0001PfF1290,Individual,18,Maferinyah,00,DHFR,S108N,17,100.0%,17,S108N,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,DHFR,S108N,32,100.0%,32,S108N,1
