Sample,Pooled,Year,SITE,TreatmentDay,GENE,G_annotation,COVERAGE,VAF,VF,SNP,PooledSize,PooledGroup
17GNDo00xp039PfF1153,Pooled,17,Dorota,00,DHFR,S108N,440,100.0%,440,S108N,1,26
17GNDo00xp040PfF1153,Pooled,17,Dorota,00,DHFR,S108N,266,100.0%,266,S108N,1,26
17GNDo00xp041PfF1153,Pooled,17,Dorota,00,DHFR,S108N,3167,85.7%,2714,S108N,7,26
17GNDo00xp042PfF1153,Pooled,17,Dorota,00,DHFR,S108N,501,99.6%,499,S108N,4,26
17GNDo00xp043PfF1153,Pooled,17,Dorota,00,DHFR,S108N,413,88.4%,365,S108N,3,26
17GNDo00xp044PfF1153,Pooled,17,Dorota,00,DHFR,S108N,54,64.8%,35,S108N,1,26
17GNHa00xp037PfF1153,Pooled,17,Hamdalaye,00,DHFR,S108N,3655,73.7%,2694,S108N,4,26
17GNHa00xp038PfF1153,Pooled,17,Hamdalaye,00,DHFR,S108N,2245,100.0%,2245,S108N,3,26
17GNHa00xp039PfF1153,Pooled,17,Hamdalaye,00,DHFR,S108N,1944,93.6%,1820,S108N,4,26
17GNHa00xp040PfF1153,Pooled,17,Hamdalaye,00,DHFR,S108N,43,100.0%,43,S108N,1,26
17GNHa00xp041PfF1153,Pooled,17,Hamdalaye,00,DHFR,S108N,13,100.0%,13,S108N,1,26
17GNHa00xp042PfF1153,Pooled,17,Hamdalaye,00,DHFR,S108N,5,100.0%,5,S108N,1,26
17GNHa00xp043PfF1153,Pooled,17,Hamdalaye,00,DHFR,S108N,6,100.0%,6,S108N,2,26
17GNHa00xp045PfF1153,Pooled,17,Hamdalaye,00,DHFR,S108N,2,100.0%,2,S108N,1,26
17GNMa00xp048PfF1153,Pooled,17,Maferinyah,00,DHFR,S108N,2,100.0%,2,S108N,1,26
18GNLa00xp001PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,53,100.0%,53,S108N,5,1
18GNLa00xp002PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,484,100.0%,484,S108N,5,2
18GNLa00xp003PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,532,100.0%,532,S108N,5,3
18GNLa00xp004PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,194,96.9%,188,S108N,5,4
18GNLa00xp005PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,59,100.0%,59,S108N,5,5
18GNLa00xp005PfF1290,Pooled,18,Lay-Sarè,00,DHPS,S436Y,27,59.3%,16,S436Y,5,5
18GNLa00xp006PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,589,99.2%,584,S108N,5,6
18GNLa00xp007PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,70,32.9%,23,S108N,5,7
18GNLa00xp008PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,85,100.0%,85,S108N,5,8
18GNLa00xp009PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,20,100.0%,20,S108N,5,9
18GNLa00xp010PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,33,100.0%,33,S108N,5,10
18GNLa00xp011PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,126,100.0%,126,S108N,5,11
18GNLa00xp012PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,178,100.0%,178,S108N,5,12
18GNLa00xp014PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,63,100.0%,63,S108N,5,14
18GNLa00xp015PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,407,100.0%,407,S108N,5,15
18GNLa00xp016PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,153,79.7%,122,S108N,5,16
18GNLa00xp017PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,152,100.0%,152,S108N,5,17
18GNLa00xp018PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,15,100.0%,15,S108N,5,18
18GNLa00xp018PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,I218N,8,12.5%,1,I218N,5,18
18GNLa00xp019PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,211,100.0%,211,S108N,5,19
18GNLa00xp020PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,510,100.0%,510,S108N,5,20
18GNLa00xp021PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,464,100.0%,464,S108N,5,21
18GNLa00xp022PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,43,100.0%,43,S108N,5,22
18GNLa00xp023PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,929,100.0%,929,S108N,5,23
18GNLa00xp024PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,1909,100.0%,1909,S108N,5,24
18GNLa00xp025PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,530,99.6%,528,S108N,5,25
